key;title;year;month;day;journal;issn;volume;issue;pages;authors;url;language;publisher;location;abstract;notes;doi;keywords;pubmed_id;pmc_id;PDF files;[]
rayyan-146535373;Associations between a multifaceted personality and academic performance in secondary school;2024;;;EUROPEAN JOURNAL OF PERSONALITY;;;;;Brandt, Naemi D. and Spengler, Marion and Lechner, Clemens M. and Goellner, Richard and Wagner, Jenny;;English;;;Whereas meta-analytic evidence has accumulated about the important role personality characteristics such as the Big Five traits play for academic performance in secondary school, less is known about the specific behavioral and emotional repertoire that drives these associations. A closer look at the facet-level of Big Five traits can provide this knowledge helping to better understand why students differ in their success at school. We therefore studied associations between Big Five facets and academic performance (grades and standardized test scores in German and mathematics) in three independent secondary student samples (Study 1 N = 3866, Study 2 N = 2290, and Study 3 N = 366), using regression analytic, structural equation modeling, and meta-analytic procedures to test facet-level associations and incremental associations above traits. We found facet-differential associations with academic performance indicators, particularly for facets of conscientiousness, openness, and extraversion. Evidence for incremental effects of facets beyond traits was weak. Self-discipline (conscientiousness) was the only facet that consistently showed incremental effects across Samples 1 and 2. The results can stimulate research and practice to identify the underlying mechanisms that drive these associations and also highlight the specific emotional and behavioral repertoire that should be supported to help students to succeed in school. People differ in the way they act, think, and feel-their personality traits-and these trait differences have been shown to be predictive for how well students perform in school. Besides findings on the broader trait level, less is known about which specific behavioral and emotional repertoire might drive these associations. A closer look at the narrower facet-level can provide this knowledge helping to better understand why students differ in their success at school. We therefore studied associations between personality facets and academic performance (grades and standardized test scores in German and mathematics) in three independent secondary student samples (Study 1 N = 3866, Study 2 N = 2290, and Study 3 N = 366) and integrated these findings later on. Particularly, we wanted to know whether facets can explain differences in academic performance above what is explained by broader traits. We found evidence for facet-specific associations with grades and test scores;;;;;;;
rayyan-146535374;The impact of adolescents' voice through an online school radio: a socio-emotional learning experimental project;2024;9;;FRONTIERS IN PSYCHOLOGY;;14;;;Sarmento, Patricia and Lobo, Mafalda and Kirtikumar, Kalpna;;English;;;Universal school-based socio-emotional learning (SEL) programs for adolescents have shown their efficacy in producing positive outcomes. The aim of the current study is to present an original school-based program and project for adolescents-Semear Valores On-air - and to assess the relationship between participation in the project and students' socio-emotional skills. Based on the character strengths and virtues model, this online school radio project aimed at promoting communication, creative thinking, adaptability, and resilience skills in adolescents and giving them the opportunity to become influential agents of well-being and citizenship. As part of the school curriculum, students were invited to create and record radio shows and podcasts. An online school radio was thus created, and it continues to broadcast all over the world, with music, daily shows, and interviews 24/7. It was developed within the framework of the Gulbenkian Academies for Knowledge, a nationwide Portuguese program, that seeks to prepare children and youth for change, to enable them to deal with complex problems, and to expand their opportunities for achievement. A quasi-experimental design, with a mixed qualitative-quantitative approach was used to analyze data collected from 112 adolescents in the second year of its implementation, in 2020-2021. Results suggest that (1) teachers' perceptions of student's socio-emotional skills in the post test showed more positive associations with the participation in the project, than participant's perceptions;;;;;;;
rayyan-146535375;Longitudinal associations between adolescents' social-emotional skills, school engagement, and school burnout☆;2024;10;;LEARNING AND INDIVIDUAL DIFFERENCES;;115;;;Huttunen, Ida and Upadyaya, Katja and Salmela-Aro, Katariina;;English;;;This longitudinal study investigated to what extent five key social-emotional skills persistence, academic buoyancy, curiosity, social engagement, and lack of loneliness were associated with adolescents' school engagement and burnout at two timepoints. Furthermore, the role of gender and socioeconomic status were examined. The data were collected from 1021 adolescents (ages 12-14) in the fall of 2021 and 2022. The results were analyzed using structural equation modeling (SEM) and revealed that, in general, social-emotional skills were associated with higher school engagement and lower burnout among adolescents. Curiosity showed a strong relationship with school engagement. Moreover, persistence was associated with an increase in school engagement among adolescents with low-average socioeconomic status. High academic buoyancy and lack of loneliness were associated with decrease in burnout over the school years. The study implies that recognizing the variety of adolescent's social-emotional skills may help to better support adolescents' school engagement and protect them from burnout. Educational relevance and implications statement: According to the study findings, social-emotional skills, such as persistence and curiosity, were associated with higher school motivation and lower burnout of adolescents. These results suggest that interventions aiming to develop adolescents' social-emotional skills may promote adolescents' motivation. Supporting adolescents' social relationships in school may also protect adolescents from burning out. To better support adolescent students' motivation and well-being at school it is important to recognize the diversity of individual adolescents' needs and strengths in social-emotional skills. Therefore, sufficient education and training would be needed for teachers concerning the variety of social-emotional skills.;;10.1016/j.lindif.2024.102537;;;;;
rayyan-146535376;Do social engagement skills exist and matter beyond personality facet traits and vocational interests? A generalization study across six countries☆;2024;10;;LEARNING AND INDIVIDUAL DIFFERENCES;;115;;;Roemer, Lena and Rammstedt, Beatrice and Lechner, Clemens M.;;English;;;Social engagement skills as capacities for active interpersonal engagement are thought to conceptually differ from behavioral and motivational tendencies and to predict learning and life outcomes. We tested these assumptions on the distinct nature and relevance of social engagement skills. Quota-representative self-reports from 6987 adults in six countries showed strong relations of social engagement skills with personality facets and weaker with vocational interests. Partially supporting their distinctiveness, social engagement skills were not fully reducible to those correlates. Skills predicted self-reported learning, quality-of-life, and job outcomes, but offered little incremental validity beyond personality and interests. Results largely generalized across countries. Yet, the complex interplay between social engagement skills, individual differences, and outcomes demonstrated crosscountry variations, suggesting sensitivity to sociocontextual factors. We conclude that while social engagement skills conceptually differ from personality and interests and in themselves predict life success, they add limited empirical value beyond these constructs, at least for self-reports. Educational relevance statement: Social engagement skills are the capacities to actively engage with others. It is thought that these capacities differ from other person characteristics (e.g., behavioral or motivational tendencies), and that this distinction matters for explaining life success. Our study showed that while self-reported social engagement skills shared similarities with other person characteristics, they still had unique aspects. Moreover, social engagement skills mattered, such that more skilled adults reported higher quality-of-life, but not necessarily better learning. However, social engagement skills did not provide much extra insight into life success beyond what was already known from other person characteristics. Other than the remaining results, these complex relations between social engagement skills, person characteristics, and life success largely varied across countries. The results highlight the importance of assessing social skills in a situation-specific manner, which will be imperative for targeted educational practices in the future. Moreover, our study focused on adults, limiting applicability to youth, but results suggest that intervention efforts targeting social engagement skills may probably yield more interpersonal than academic benefits. Finally, when designing or adapting complex educational programs, practitioners should consider sociocontextual factors.;;10.1016/j.lindif.2024.102522;;;;;
rayyan-146535377;Social, Emotional, and Behavioral (SEB) Skills in the Workplace;2024;7;;COLLABRA-PSYCHOLOGY;;10;1;;Chen, Lilang and Zhang, Bo and Li, Jian;;English;;;The current study sought to extend Soto et al. (2022)'s results on social, emotional, and behavioral (SEB) skills to a work setting and answer three key questions. First, do SEB skills predict consequential work-related outcomes? Second, do SEB skills provide incremental validity over the Big Five personality traits in predicting the outcomes? Third, is the joint effect of SEB skills and traits additive or multiplicative? Results from a sample of real estate agents (N N = 2,992) in China extend the criterion space of SEB skills by showing self-concepts of these skills are related to self-reported work outcomes such as citizenship behaviors and job satisfaction in a conceptually meaningful way. Further analyses show that these skill-outcome relationships remain robust after accounting for effects of traits, indicating SEB skills' incremental validity beyond traits in predicting outcomes. Finally, comparisons between additive and multiplicative models show support for the former because the interaction effects of SEB skills and traits provide little meaningful information beyond the additive models. Based on these findings, we discuss the implications for the SEB skills literature and practice.;;10.1525/collabra.120531;;;;;
rayyan-146535378;Assessing Social, Emotional, and Behavioral Skills in Just a Few Minutes: 96-, 45-, and 20-Item Short Forms of the BESSI;2024;;;ASSESSMENT;;;;;Sewell, Madison N. and Yoon, Hee J. and Lechner, Clemens M. and Napolitano, Christopher M. and Rammstedt, Beatrice and Roberts, Brent W. and Soto, Christopher J.;;English;;;Social, emotional, and behavioral (SEB) skills matter for individuals' well-being and success. The behavioral, emotional, and social skills inventory (BESSI) uses 192 items to assess 32 specific SEB skills across five broad skill domains. This research developed three short forms of the BESSI-192 and explored their measurement properties, predictive validity, and cross-cultural comparability. We found that BESSI-96, BESSI-45, and BESSI-20 largely captured the psychological content of the BESSI-192 measure, retained a robust multidimensional structure, and demonstrated adequate reliability. At the domain and facet level, the BESSI short forms showed patterns of associations with external criteria that were similar to the BESSI-192 and preserved most of the BESSI-192's predictive power. The BESSI short forms also demonstrated full or partial measurement invariance between the primarily U.S.-based and German adult samples. We conclude by discussing contexts in which the short forms may be useful for researchers and practitioners.;;10.1177/10731911241256434;;;;;
rayyan-146535379;The Relation Between Soft Skills and Arithmetic Performance;2024;;;JOURNAL OF EXPERIMENTAL EDUCATION;;;;;Feraco, Tommaso and Mammarella, Irene C. and Meneghetti, Chiara;;English;;;Arithmetic achievement holds particular significance in contemporary times;;;;;;;
rayyan-146535380;Nursing students' personality (Temperament and Character), burnout symptoms, and health and well-being;2024;6;;INTERNATIONAL JOURNAL OF NURSING STUDIES ADVANCES;;6;;;Garcia, Danilo and Kazemitabar, Maryam and Bjork, Elina and Daniele, Thiago Medeiros da Costa and Mihailovic, Marko and Cloninger, Kevin M. and Frota, Mirna Albuquerque and Cloninger, C. Robert;;English;;;Background: About 9 million nurses will be needed by 2030. To face these unprecedented times, governments/institutions focus on educating as many nursing students as possible. This strategy is clouded by burnout and lack of both health and well-being among students and by the fact that personality is one of the major determinants of these health outcomes. Nevertheless, recent findings show that personality is a complex adaptive system (i,e., nonlinear) and that combinations of people's temperament and character traits (i.e., joint personality networks) might provide further information to understand its development, academic burnout, and lack of health and well-being. Aims: Our aims were to investigate the linear relationship between nursing students' personality, burnout, health, and well-being;;;;;;;
rayyan-146535381;Open Peer Commentary and Author Response Regarding `Life Events and Personality Change: A Systematic Review and Meta-Analysis';2024;5;;EUROPEAN JOURNAL OF PERSONALITY;;38;3;569-596;Denissen, Jaap J. A. and Mulder, Joris and Luhmann, Maike and Levelt, Lisa;;English;;;;;10.1177/08902070231211207;;;;;
rayyan-146535382;The relationship between bullying victimization and problematic behaviors: A focus on the intrapersonal emotional competence and interpersonal social competence;2024;6;;CHILD ABUSE \& NEGLECT;;152;;;Jiang, Chaoxin and Shi, Jiaming;;English;;;Background: Evidence consistently demonstrated that bullying victimization was associated with problematic behaviors among adolescents. However, scant attention has been given to simultaneous comparisons of the impacts of two distinct forms of victimization, traditional bullying victimization and cyberbullying victimization. In addition, the mechanisms underlying the relationship between bullying victimization and problem behavior remain inadequately explored. Objective: This study aimed to examine the correlation between bullying victimization and problematic behaviors, as well as the mediating roles of intrapersonal emotional competence and interpersonal social competence. Participants and setting: A sample of 26,450 adolescents with a mean age of 15.44 (SD = 0.56) across nine countries was derived from the Study on Social and Emotional Skills (SSES). Methods: Data analysis was conducted using structural equation modeling, c omprising three key components: the measurement model, the structural model, and the bootstrapping analysis for mediating effects. Results: Both traditional bullying and cyberbullying victimization exhibited positive correlations with problematic behaviors, with cyberbullying victimization demonstrating a stronger effect. The mediating effects of intrapersonal emotional competence and interpersonal social competence were observed in the correlation between bullying victimization and problematic behaviors. Conclusions: This study not only contributed to our comprehension of the underlying mechanisms connecting bullying victimization and adolescent problematic behaviors, but also holds significance for policy development and practice.;;10.1016/j.chiabu.2024.106800;;;;;
rayyan-146535383;Examining the Measurement Invariance and Validity of the SSIS SEL Brief;2024;4;;INTERNATIONAL JOURNAL OF EMOTIONAL EDUCATION;;16;1;26-49;Anthony, Christopher J. and Hassani, Sepideh and Schwab, Susanne and Howe, Abigail P. and Yost, Michayla and Elliott, Stephen N. and Loeper, Marwin and Goerel, Gamze and Hellmich, Frank;;English;;;The SSIS SEL Brief + Mental Health Scales (SSIS SELb+MHS) are multi -informant assessments developed in the United States to assess the social and emotional learning (SEL) competencies and emotional behavior concerns (EBCs) of school -age youth. Although there are translations of the SEL items of the SSIS SELb+MHS available in other languages, a German translation has never been completed and validated, despite the growing need for SEL and mental health assessment in German-speaking countries. To address this need, this study's primary purpose was the examination of a German translation of the assessment with a specific focus on measurement invariance and concurrent validity invariance testing with 821 3rd through 6th -grade students in Austria and Germany. Results indicated that the SELb+MHS items clustered into 2 SEL factors and 2 EBC factors. With regard to measurement invariance, the SELb+MHS functioned similarly across both Austria and Germany and full scalar invariance was achieved. Additionally, the overall pattern of concurrent validity relationships was as expected and similar across countries. Implications and future directions are discussed.;;10.56300/HYOT2284;;;;;
rayyan-146535384;The Italian Behavioral, Emotional, and Social Skills Inventory (BESSI-I);2024;11;;JOURNAL OF PERSONALITY ASSESSMENT;;106;6;750-764;Feraco, Tommaso and Casali, Nicole and Pellegrino, Gerardo and Soto, Christopher J. and Napolitano, Christopher M. and Carretti, Barbara and Meneghetti, Chiara;;English;;;The importance of social, emotional, and behavioral (SEB) skills is recognized worldwide, but their measurement has always been a challenge. The BESSI measures 32 SEB skills, divided into five domains (social engagement, cooperation, self-management, emotional resilience, and innovation), but its validity must be expanded to new languages and contexts. Across two studies (N1 = 990, N2= 824) we developed the Italian version of the BESSI, provided further support for its convergent and discriminant validity with the Big Five, and expanded its nomological network to procrastination, self-efficacy, and emotion regulation. The BESSI-I showed excellent internal reliability and satisfactory fit indices at the facet, domain, and overarching framework level. We also confirmed the correlations between the SEB skills and the Big Five personality traits and found meaningful correlations with the selected external outcomes. Overall, we confirm that the BESSI-I is a valid and useful instrument to assess SEB skills for research and clinical purposes.;;10.1080/00223891.2024.2335912;;;;;
rayyan-146535385;Social-emotional need satisfaction and students' academic engagement and social-emotional skills;2024;2;;EDUCATIONAL PSYCHOLOGY;;44;2;117-135;Collie, Rebecca J.;;English;;;This investigation examined the role of students' social-emotional need satisfaction in relation to academic engagement and social-emotional skills. Among a sample of 501 secondary school students (and their parents/carers), several need satisfaction variables were examined: perceived social-emotional autonomy, perceived social competence, perceived emotional competence, perceived relatedness with students, and perceived relatedness with teachers. The hypothesised outcomes were student-reported behavioural disaffection, and parent reports of students' homework practices, expressive skill, and perspective-taking skill. Results demonstrated that perceived social competence was associated with lower behavioural disaffection. Perceived emotional competence was associated with more positive homework practices, greater expressive skill, and greater perspective-taking skill. Perceived relatedness with teachers was associated with lower behavioural disaffection and more positive homework practices. Findings have implications for supporting students' positive adjustment in school and beyond.;;10.1080/01443410.2024.2324751;;;;;
rayyan-146535386;Cooperative school climates are positively linked with socio-emotional skills: A Cross-National Study;2024;6;;BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY;;94;2;622-641;Wang, Faming and King, Ronnel B. and Zeng, Lily Min;;English;;;Background: Socio-emotional skills are critical to life outcomes such as achievement, well-being and job success. However, existing research has mostly focused on the consequences of socio-emotional skills, with less attention devoted to the role of school climate in the deployment of these skills. Aims: This study investigated the role of school climate in socio-emotional skills. More specifically, we investigated whether cooperative or competitive school climates are associated with students' socio-emotional skills. Sample: Our study utilized data from the OECD Survey on Social and Emotional Skills, collected from 10 cities across nine countries. Participants were 60,985 students, including 31,187 10-year-olds (49.70\% females) and 29,798 15-year-olds (51.6\% females). Methods: We conducted multilevel structural equation modelling to test whether cooperative and competitive climates were associated with socio-emotional skills. These skills include five broad domain skills and 15 more specific skills: task performance (self-control, responsibility and persistence), emotion regulation (stress resistance, emotional control and optimism), collaboration (empathy, trust and cooperation), open-mindedness (tolerance, curiosity and creativity) and engaging with others (sociability, assertiveness and energy). Results: Our findings indicated a positive relationship between a cooperative climate and socio-emotional skills. In contrast, the relationship between a competitive climate and socio-emotional skills was primarily negative. Conclusion: This study highlights the contrasting roles of cooperative and competitive climates in students' socio-emotional skills.;;10.1111/bjep.12670;;;;;
rayyan-146535387;Within-person associations between personality traits and loneliness controlling for negative affect;2024;6;;PERSONALITY AND INDIVIDUAL DIFFERENCES;;223;;;Joshanloo, Mohsen;;English;;;Despite cross-sectional evidence of significant associations between loneliness and the Big Five personality traits, elucidating the directionality of these associations requires further longitudinal investigation. To address this gap, the present study examined the longitudinal relationship between loneliness and personality traits, controlling for negative affect. Data were drawn from the Health and Retirement Study collected in 2012, 2016, and 2020 (N = 9671). The random intercept cross-lagged panel model was used, enabling the examination of withinperson associations. Results showed that loneliness predicted subsequent declines in extraversion, agreeableness, and conscientiousness. Furthermore, neuroticism was found to be a positive predictor of future loneliness, whereas the other personality traits were negative predictors. In addition, negative affect had bidirectional associations with neuroticism and predicted future loneliness. Overall, these results show that these variables are unidirectionally or bidirectionally linked at the within-person level. These findings also highlight the need for multifaceted interventions that include a range of approaches, such as promoting positive personality traits, managing negative affect, and enhancing social skills.;;10.1016/j.paid.2024.112609;;;;;
rayyan-146535388;Mindreading Measures Misread? A Multimethod Investigation Into the Validity of Self-Report and Task-Based Approaches;2024;5;;PSYCHOLOGICAL ASSESSMENT;;36;5;365-378;Wendt, Leon P. and Zimmermann, Johannes and Spitzer, Carsten and Mueller, Sascha;;English;;;Mindreading ability-also referred to as cognitive empathy or mentalizing-is typically conceptualized as a relatively stable dimension of individual differences in the ability to make accurate inferences about the mental states of others. This construct is primarily assessed using self-report questionnaires and task-based performance measures. However, the validity of these measures has been questioned: According to rival interpretations, mindreading tasks may capture general cognitive ability, whereas mindreading self-reports may capture perceived rather than actual mindreading ability. In this preregistered multimethod study involving 700 participants from the U.S. general population, we tested the validity of mindreading measures by examining the nomological network of self-reports and task-based methods using structural equation modeling. Specifically, we contrasted the empirical associations with theoretical predictions that assume mindreading measures are valid versus invalid. More consistent with rival interpretations, mindreading tasks showed a negligible latent correlation with mindreading self-reports (.05) and a large one with general cognitive ability (.85), whereas mindreading self-reports were specifically associated with perceived performance in mindreading tasks (.29). Also more consistent with rival interpretations, neither mindreading self-reports nor task-based measures showed positive unique associations with psychosocial functioning when controlling for general cognitive ability and general positive self-evaluation. Instead, negative unique associations emerged for both methods, although this effect was not robust for tasks. Overall, the results cast doubt on the validity of commonly used mindreading measures and support their rival interpretations.;;10.1037/pas0001310;;;;;
rayyan-146535389;A Meta-Analytic Review of the Associations of Personality, Intelligence, and Physical Size With Social Status;2024;3;;PSYCHOLOGICAL BULLETIN;;150;3;253-283;Grosz, Michael P. and van Aert, Robbie C. M. and Back, Mitja D.;;English;;;Theories have proposed diverse reasons for why individual differences such as personality traits lead to social status attainment in face-to-face groups. We integrated these different theoretical standpoints into a model with four paths from individual differences to status: a dominance, a competence, a virtue, and a micropolitics path. To investigate these paths, we meta-analyzed over 100 years of research on bivariate associations of personality traits, cognitive abilities, and physical size with the attainment of status-related outcomes in face-to-face groups (1,064 effects from 276 samples including 56,153 participants). The status-related outcome variables were admiring respect, social influence, popularity (i.e., being liked by others), leadership emergence, and a mixture of outcome variables. The meta-analytic correlations we found were largely in line with the micropolitics path, tentatively in line with the competence and virtue paths, and only partly in line with the dominance path. These findings suggest that status attainment depends not only on the competence and virtue of an individual but also on how individuals can enhance their apparent competence or virtue by behaving assertively, by being extraverted, or through self-monitoring. We also investigated how the relations between individual differences and status-related outcomes were moderated by kind of status-related outcome, nature of the group task, culture (collectivism/individualism), and length of acquaintance. The moderation analysis yielded mixed and inconclusive results. The review ends with directions for research, such as the need to separately assess and study the different status-related outcomes. Public Significance Statement This meta-analysis investigated who attains social status in face-to-face groups. Social status was frequently attained not only by competent and virtuous individuals but also by individuals who enhanced their appearance of competence or virtue by behaving in assertive, extraverted, and socially appropriate ways. These findings underline the need to not take competence or virtue of those high in social status for granted and to implement evidence-based selection procedures when it comes to deciding whom to put into superordinate social positions.;;10.1037/bul0000416;;;;;
rayyan-146535390;Socio-emotional characteristics and education;2024;;;ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT;;;;;Becker, Michael;;German;;;This article reviews current research on socioemotional characteristics (sometimes also labeled noncognitive skills) and their manifold relations to education and development across the lifespan. The contribution addresses several aspects: It presents central topics and problems alongside an overview of the currently used taxonomies and terminologies. Furthermore, theoretical models of the mechanisms of the relation between socioemotional characteristics and education are presented. The author informs about current research on the correlative and causal relations between socioemotional characteristics and education, concluding on a discussion of central problems and further research desiderata.;;10.1007/s11618-024-01217-8;;;;;
rayyan-146535391;The Behavioral, Emotional, and Social Skills Inventory: A Spanish Adaptation and Further Validation in Adult Population;2024;10;;ASSESSMENT;;31;7;1525-1547;Postigo, Alvaro and Gonzalez-Nuevo, Covadonga and Garcia-Fernandez, Jaime and Garcia-Cueto, Eduardo and Soto, Christopher J. and Napolitano, Christopher M. and Roberts, Brent W. and Cuesta, Marcelino;;English;;;Social, emotional, and behavioral (SEB) skills encompass a broad range of interpersonal and intrapersonal abilities that are crucial for establishing and maintaining relationships, managing emotions, setting and pursuing goals, and exploring new learning opportunities. To address the lack of consensus regarding terminology, definition, and assessment of SEB skills, Soto et al. developed the Behavioral, Emotional, and Social Skills Inventory (BESSI), which consists of 192 items, 32 facets, and 5 domains. The objective of the current study was to adapt the BESSI to Spanish (referred to as BESSI-Sp) and enhance the overall understanding of the BESSI framework. A sample of 303 people was employed with a mean age of 30.35 years (SD = 14.73), ranging from 18 to 85 years. The results indicate that the BESSI-Sp demonstrates strong psychometric properties. Its facet- and domain-level structure aligns with the theoretical expectations and closely resembles the English-language source version. The facets exhibit high reliability (mean omega = .89), and the scores demonstrate adequate stability after 3 to 4 weeks (mean rICC = .77). The BESSI-Sp also displays evidence of convergent validity and integrates well with the Big Five framework, providing incremental validity for various outcomes. We discuss the implications of these findings for the assessment of SEB skills and future research in this field.;;10.1177/10731911231225197;;;;;
rayyan-146535392;Physical activity, sports participation and school exclusion: An analysis of the millennium cohort study;2024;6;;BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY;;94;2;571-585;Brinkley, A. J.;;English;;;BackgroundPhysical activity and modes of sport are widely adopted to promote health, wellbeing, behavioural outcomes and educational attainment in young people excluded from education. However, little is known about the physical activity or sports involvement of excluded young people or the role of participation on predictors and outcomes associated with exclusion.AimsThe study aimed to understand (i) how active excluded young people are, (ii) whether predictors of school exclusion are influenced by participation in physical activity or sport and (iii) if physical activity or sports participation moderates the relationship between school exclusion and health, behavioural and educational outcomes.MethodsMillennium Cohort Study Wave 6 data were analysed using linear multiple regression models. Participants were 11,066 young people. Dependent variables were physical activity or sports participation. Independent variables included school exclusion, body composition and physical health, cognitive and educational outcomes, crime, anti-social and harmful behaviours, mental health and individual demographic predictors.ResultsMultiple regression analysis of Millennium Cohort Study Wave 6 data indicates young people excluded from education participate in more (+20.71 +/- 9.72, p = .03) minutes of physical activity but less (-22.38 +/- 32.52, p = .49) minutes of sport than non-excluded participants. Physical activity or sport did not influence predictors or outcomes associated with exclusion.ConclusionFindings indicate young people excluded from education participate in 8\% more MVPA, but 13\% less sport than peers not excluded from education. These findings highlight concerns related to the provision of school sports and physical education opportunities for young people excluded from education. Moreover, these findings question the role of physical activity or sport as a silver bullet within UK educational policy.;;10.1111/bjep.12664;;;;;
rayyan-146535393;Knowing Me, Knowing You: Are People Good at Regulating Their Emotions Good at Regulating Another's Emotions?;2024;8;;EMOTION;;24;5;1137-1148;Boker Segal, Noa and Hu, Danfei and Ginosar Yaari, Shir and Tamir, Maya;;English;;;Sometimes we regulate our emotions, and other times we need to regulate the emotions of others. In this investigation, we tested whether the ability to regulate one's own emotions and the ability to regulate other's emotions are related. We assessed regulators' self-oriented emotion regulation ability by measuring their own emotional experiences in a self-oriented emotion regulation task. We assessed regulators' other-oriented emotion regulation ability by measuring the emotional experiences of their targets in an other-oriented emotion regulation task. We found that self-oriented and other-oriented emotion regulation abilities were not significantly related. However, people were better able to regulate targets who were better at regulating themselves. People who frequently used self-oriented emotion regulation strategies (e.g., distraction) had greater self-oriented, but not other-oriented, emotion regulation ability. People with greater self-oriented emotion regulation ability made themselves feel less unpleasant emotions upon regulating their emotions. People with greater other-oriented emotion regulation ability made both the target of regulation and themselves feel less unpleasant emotions upon regulating the target's emotions. The target and regulator also felt closer to one another when the regulator had greater other-oriented emotion regulation ability. These findings suggest that the ability to regulate the emotions of others might be linked to desirable personal and social outcomes, even in interactions among strangers.;;10.1037/emo0001305;;;;;
rayyan-146535394;Examining SEB skills' incremental validity over personality traits in predicting academic achievement;2024;1;;PLOS ONE;;19;1;;Yoon, Hee Jun and Roberts, Brent W. and Sewell, Madison N. and Napolitano, Christopher M. and Soto, Christopher J. and Murano, Dana and Casillas, Alex;;English;;;Personality traits and social, emotional, and behavioral (SEB) skills share the same behavioral referents, but whereas traits refer to a person's typical or average performance, skills refer to their capacity or maximal performance. Given their shared behavioral foundations, an important question to address is whether personality traits and SEB skills independently predict important outcomes. In this study (N = 642), we examined whether subscales of the Behavioral, Emotional, and Social Skills Inventory (BESSI), a measure of SEB skills, provided incremental validity in the prediction of the ACT composite score, an important academic outcome for American adolescents, over the Big Five personality traits. Consistent with our expectations, on average, SEB skills showed stronger associations with ACT achievement scores than personality traits. Moreover, SEB skills added incremental validity over and above personality traits in predicting ACT achievement scores. The findings reinforce the importance of conceptually distinguishing and measuring traits and skills.;;10.1371/journal.pone.0296484;;;;;
rayyan-146535395;Physicians' Social Skills - Conceptualization, Taxonomy, and Behavioral Assessment;2024;;;PERSPECTIVES ON MEDICAL EDUCATION;;13;1;635-645;Breil, Simon M. and Amelung, Dorothee and Rollinger, Torsten and Ahrens, Helmut and Garbe, Amelie and Kadmon, Martina and Marschall, Bernhard and Back, Mitja D. and Peters, Harm;;English;;;Social skills (e.g., assertiveness, empathy, ability to accept criticism) are essential for the medical profession and therefore also for the selection and development of medical students. However, the term ``social skills{''} is understood differently in different contexts. There is no agreed upon taxonomy for classifying physicians' social skills, and skills with the same meaning often have different names. This conceptual ambiguity presents a hurdle to cross-context communication and to the development of methods to assess social skills. Drawing from behavioral psychology, we aim to contribute to a better understanding of social skills in the medical context. To this end, we introduce a theoretically and empirically informed taxonomy that can be used to integrate the large number of different social skills. We consider how skills manifest at the behavioral level to ensure that we focus only on skills that are actually observable, distinguishable, and measurable. Here, behavioral research has shown that three overarching skill dimensions can be seen in interpersonal situations and are clearly distinguishable from each other: agency skill (i.e., getting ahead in social situations), communion skill (i.e., getting along in social situations), and interpersonal resilience (i.e., staying calm in social situations). We show that almost all social skills relevant for physicians fit into this structure. The approach presented allows redundant descriptions to be combined under three clearly distinguishable and behavior based dimensions of social skills. This approach has implications for the assessment of social skills in both the selection and development of students.;;10.5334/pme.1171;;;;;
rayyan-146535396;The Alternative Model of Personality Disorders: Assessment, Convergent and Discriminant Validity, and a Look to the Future;2024;;;ANNUAL REVIEW OF CLINICAL PSYCHOLOGY;;20;;431-455;Garcia, Luis F. and Gutierrez, Fernando and Garcia, Oscar and Aluja, Anton;;English;;;The Alternative Model of Personality Disorders (AMPD) is a dimensional, empirically based diagnostic system developed to overcome the serious limitations of traditional categories. We review themounting evidence on its convergent and discriminant validity, with an incursion into the less-studied ICD-11 system. In the literature, the AMPD's Pathological Trait Model (Criterion B) shows excellent convergence with normal personality traits, and it could be useful as an organizing framework for mental disorders. In contrast, Personality Functioning (Criterion A) cannot be distinguished from personality traits, lacks both discriminant and incremental validity, and has a shaky theoretical background. We offer some suggestions with a view to the future. These include removing Criterion A, using the real-life consequences of traits as indicators of severity, delving into the dynamic mechanisms underlying traits, and furthering the integration of currently disengaged psychological paradigms that can shape a sounder clinical science.;;10.1146/annurev-clinpsy-081122-010709;;;;;
rayyan-146535397;Teachers' Social and Emotional Competencies and Their Role in Occupational Well-Being;2024;;;PSIHOLOGIJSKE TEME;;33;3;503-526;Mornar, Mirta;;English;;;The teaching profession is characterised by high levels of stress and numerous emotional challenges, especially in the early stages of a career. Previous research suggests that teachers' social and emotional competencies (SEC) are related to their occupational well-being as they influence the way they cope with everyday emotional challenges at work. This points to the role of SEC as potential psychological resources that can mitigate negative outcomes such as burnout and leaving the profession among teachers in the early stages of their career. However, research in this area is still scarce and it is unclear how certain SEC are related to different aspects of occupational well-being and commitment to the teaching profession. The aim of this paper is to review conceptual frameworks of SEC and existing research in the field, discuss the role they play in education and compare them with related constructs in the domain of individual differences. Furthermore, it will provide an overview of research on teachers' occupational well-being and examine the relevance of teachers' SEC for outcomes such as burnout, work engagement, and job satisfaction. The paper will conclude by examining methodological aspects of SEC assessment and review challenges and directions for future research.;;10.31820/pt.33.3.2;;;;;
